f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215,f216,f217,f218,f219,f220,f221,f222,f223,f224,f225,f226,f227,f228,f229,f230,f231,f232,f233,f234,f235,f236,f237,f238,f239,f240,f241,f242,f243,f244,f245,f246,f247,f248,f249,f250,f251,f252,f253,f254,f255,f256,f257,f258,f259,f260,f261,f262,f263,f264,f265,f266,f267,f268,f269,f270,f271,f272,f273,f274,f275,f276,f277,f278,f279,f280,f281,f282,f283,f284,f285,f286,f287,f288,f289,f290,f291,f292,f293,f294,f295,f296,f297,f298,f299,f300,f301,f302,f303,f304,f305,f306,f307,f308,f309,Age,Sex,Class
0.13,0.05,0,0,0,2.41,0,65.48,1844.08,-15.81,-4.18,-0.16,4.69,0.04,11.58,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,5.05,0.03,0,0.05,0.04,0,0.05,0.05,0,0.05,0.06,0.45,0,0.06,0.08,-0.12,-0.04,0,0.04,0.25,16.76,4.09,0.03,0.03,1,2.98,0,0.42,0.56,0,1.45,0.27,0.07,1346559.92,1.5,3.04,0.01,0,16.57,12.39,11.87,719.12,1.21,5.83,1.45,0.4,0.09,0.87,0.08,14.1,0.11,7.53,9.41,6.5,-1.5,-1.59,-1.37,-0.99,-2.06,-0.44,0.74,-0.76,-0.31,0.02,-0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.33,3.14,11.58,88201,100,0,0,0,0,0,0,0,0,0,0,0.4,1.07,1.14,-520.59,-2603.89,-3433.65,-6404.07,-10926.66,-11283.59,-54999.33,-8400.06,-2261.83,-587.61,-63.27,59.13,57.73,33.75,26.43,36.93,36.55,0,0.01,0.13,3.06,12.24,38.83,99.19,205.54,374.59,1203.12,0.01,0.12,0.5,5.95,27.44,68.97,174.86,440.36,372.37,3229.06,-1300080231,-1399423256,-1524212655,-1702319603,-1992037445,-2514607170,-3462706293,-5353570733,-9204509118,-17113749412,11699.31,6291.4,3420.75,1904.67,1108.86,694.66,474.1,363.13,309.72,286.48,235.28,927.06,3587.08,13580.96,49021.89,164033.22,502580.29,1368591.34,3340015.53,7498995.24,5264.73,14752.95,41168.49,112772.49,302639.6,777779.05,1915169.18,4453885.66,9831723.6,20709910.06,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.09,0.1,0.12,0.15,0.17,0.38,-13967.37,-5085.77,-2102.65,-799.8,-421.51,-248.65,-141.05,-83.33,-61.85,-62.03,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0.01,0.01,0.06,-245721.62,-291709.13,-343910.51,-409792.7,-505547.96,-666056.6,-950158.9,-1513472.37,-2672745.36,-5098395.19,4117.55,2443.71,1440.1,857.54,528.48,347.66,247.58,196.84,173.56,165.38,0.12,0.47,1.83,6.94,25.07,83.92,257.32,701.56,1714.41,3856.08,2.69,7.54,21.01,57.66,154.54,397.93,979.51,2273.22,5000.5,10556.95,51,0,0
0.07,0.03,0,0,0,2.01,0,46.77,1380.11,-5.87,-2.29,0.12,2.46,0.03,8.14,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.09,13.1,0.09,0,0.08,0.11,0,0.08,0.11,0,0.08,0.08,1.16,0.03,0.1,0.13,-0.16,-0.08,-0.02,0.1,0.45,14.9,1.94,0.04,0.02,1,35.57,0,0.51,0.6,0,1.64,0.84,0.08,1723849.78,1.53,3.06,0.01,0.02,20.62,70.41,68.34,2352.45,1.33,5.96,1.44,0.1,0,0.43,0.09,32.42,0.12,5.01,-0.46,7.6,2,-0.55,-1.37,-1.17,-1.26,0.3,2.15,0.51,-1.07,-0.21,0.24,-0.01,-0.01,-0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.02,2.5,8.14,88201,100,0,0,0,0,0,0,0,0,0,0,0.4,-1.36,9.76,-816.07,-340.88,-972.4,-15246.06,-33645.94,-12715.17,-2779.65,-8555.38,-2571.69,-626.37,-209.16,-14.6,28.13,54.42,48.13,32.07,24.83,0,0.02,0.04,2.85,2.71,12.14,162.7,286.59,241.42,119.26,0,0.2,0.26,11.73,7.51,18.93,263.39,771.18,295.77,152.68,-1039129846,-1118573220,-1217139975,-1355829184,-1578591660,-1976952107,-2697491269,-4131786271,-7049555075,-13045460773,11491.82,6185.66,3365.88,1875.23,1092.14,684.3,467.07,357.76,305.19,282.37,177.86,699.41,2692.74,10223.01,37006.54,123772.02,378924.72,1033715.08,2528612,5694549.74,4002.65,11209.67,31084.84,84795.63,227878.3,588442.73,1435373.06,3338542.67,7342954.87,15502254.91,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.05,0.28,0.42,0.19,0.07,-13933.43,-5305.11,-2070.92,-948.29,-432.06,-188.44,-138.45,-69.78,-64.48,-60.86,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0.02,0.01,0,-234336.79,-278517.75,-328571.51,-391564.93,-482829.07,-635407.52,-905144.07,-1439597.29,-2539144.69,-4840153.5,4079.2,2424.17,1429.96,852.1,525.39,345.75,246.28,195.85,172.72,164.62,0.11,0.45,1.74,6.59,23.79,79.65,244.26,666.25,1628.82,3665.44,2.56,7.17,19.95,54.72,146.67,377.8,928.44,2155.29,4738.42,10008.58,65,1,1
0.05,0.02,0,0,0,1.07,0,82.36,2506.01,-3.65,-1.4,0.15,1.5,0.02,4.26,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.03,3.13,0.02,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0.27,0,0.05,0.07,-0.09,-0.04,0,0.04,0.13,23.72,1.33,0,0,0.94,51.48,2.12,0.16,0.52,0,2.03,0.53,0.11,1207856.9,1.59,3.03,0.02,0.02,27.33,143.18,137.21,3780.15,1.39,6.44,1.57,0.02,0,0.22,0.04,11.41,0.06,7.14,4.19,7.45,-0.79,-2.76,-2.51,-1.67,-0.54,0.85,1.63,-0.06,-1.12,0.38,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.67,1.33,4.26,88201,100,0,0,0,0,0,0,0,0,0,0,1.15,-17.81,-42.71,-2008.2,-403.43,-610.74,-3597.27,-2249.5,-5336.83,-8651.82,-9225.88,-3053.41,-865.71,-255.25,-35.27,23.8,32.39,29.97,28.61,27.6,0,0.04,0.15,5.45,3.15,11.17,55.84,43.71,103.08,211.63,0.02,0.35,1.27,24.65,11.39,13.44,92.3,65.81,202.49,330.69,-1951669924,-2094716689,-2272935559,-2524812846,-2930757645,-3658137213,-4972390033,-7585678954,-12894714909,-23796328781,12076.81,6482.43,3518.54,1955.84,1136.72,710.87,484.33,370.37,315.47,291.48,320.29,1254.76,4826.15,18310.19,66214.82,221606.63,679427.04,1853532.94,4532889.27,10203514.63,7170.1,20189.55,55797.52,152041.07,408065.94,1052316.33,2585336.05,5999303.63,13167177.6,27840681.51,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0.02,0.06,0.04,0.07,0.09,-14818.05,-5935.45,-2369.4,-1057.59,-474.35,-224.47,-148.53,-94.25,-72.94,-51.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-267209.91,-316400.17,-372203.85,-442558.69,-544667.21,-715581.89,-1017753.91,-1616350.63,-2847294.41,-5422154.87,4185.5,2478.1,1457.7,866.75,533.49,350.58,249.42,198.15,174.59,166.28,0.13,0.5,1.94,7.33,26.46,88.59,271.67,740.98,1811.43,4076.04,2.84,7.98,22.19,60.86,163.11,420.2,1033.85,2398.28,5270.22,11134.99,65,1,0
0.38,0.19,0,0,0,3.4,0,95.44,1268.87,-55.87,-14.06,-0.14,13.72,0.12,11.8,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.11,26.53,0.18,0,0.21,0.21,0,0.21,0.26,0,0.21,0.09,2.4,0.12,0.08,0.11,-0.15,-0.05,0,0.07,0.67,5.29,3.95,0.43,0.4,0.87,53.89,10.23,0.65,0.61,0.08,0.82,0.15,0.13,1768557.83,1.64,3.04,0,0,1.68,0.79,0.79,16.45,0.99,5.43,1.22,0.95,0.16,1.44,0.08,3.25,0.11,4.87,5.1,5.59,-3.36,-3.23,1.62,0.54,-0.97,1.37,0.23,0.62,-0.08,0.52,-0.55,0,-0.01,0,-0.01,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,6.23,11.8,88201,99.98,0,0,0,0,0,0,0,0,0,0,-388.36,-1749.09,-6131.49,-10961.99,-37961.33,-28457.34,-45527.36,-33445.53,-68222.71,-61415.58,-5707.03,-1377.67,-145.16,44.93,61.34,49.2,49.57,37.19,34.83,44.06,0.19,1.97,12.45,49.79,183.13,296.42,443.29,520.1,1406.98,560.53,2.82,12.8,53.59,264.9,1011.98,1072.75,1309.68,1192.07,1712.81,1457.55,-932259948.3,-1003190018,-1090305684,-1211397726,-1403687787,-1745216617,-2357428582,-3572312234,-6041346704,-11111232193,11389.67,6133.44,3338.62,1860.46,1083.61,678.89,463.25,354.73,302.56,279.94,171.9,677.71,2565.29,9514.76,33571.15,111506.75,339494.17,925353.37,2261539.66,5079370.62,3731.46,10753.19,29937.72,81276.86,209957.86,532452.57,1304648.86,3014237.28,6624272.56,13943750.29,100,0,0,0,0,0,0,0,0,0,0,0.02,0.08,0.17,0.28,0.48,0.3,0.49,0.34,0.52,0.61,-11213.05,-4173.48,-1542.1,-691.32,-374.02,-163.24,-78.03,-98.93,-75.16,-51.84,0,0,0,0,0,0.01,0.01,0.01,0.03,0.01,0,0,0,0.01,0.02,0.02,0.03,0.03,0.04,0.03,-228853.01,-272139.01,-321105.4,-382592.31,-471444.3,-619667.21,-881136.25,-1398693.88,-2463135.53,-4690359.93,4060.02,2414.37,1424.84,849.32,523.79,344.73,245.56,195.28,172.23,164.16,0.11,0.44,1.71,6.46,23.31,78.01,239.18,652.35,1594.63,3586.96,2.5,7.04,19.58,53.67,143.72,370.05,911.28,2113.32,4646.03,9808.81,65,1,0
0.08,0.04,0,0,0,2.98,0,49.02,1472.57,-3.57,-1.31,0.07,1.39,0.04,12.58,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,4.93,0.03,0,0.03,0.04,0,0.03,0.05,0,0.03,0.04,0.44,0.01,0.04,0.07,-0.07,-0.03,-0.01,0.04,0.36,18.35,2.94,0.02,0.02,1,3.17,0,0.42,0.55,0,0.94,0.08,0.15,1854624.27,1.63,3,0.01,0,13.97,19.8,19.42,246.62,1.24,6.03,1.38,0.33,0.09,0.84,0.07,5.77,0.09,6.52,5.87,7.66,-2.04,-2.14,-1.27,-1.05,-0.94,1.4,0.58,-0.02,-1.01,-0.18,0.76,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.09,3.68,12.58,88201,99.99,0,0,0,0,0,0,0,0,0,0,-2.02,-69.42,2.98,-20.57,1.55,-698.43,-92048.71,-74036.37,-2599.88,-11066.28,-9609.46,-2912.98,-814.94,-251.96,-105.74,17.59,57.89,51.49,27.91,19.74,0.01,0.14,0.04,0.29,0.43,9.93,268.88,495.28,64.31,177.61,0.16,1.89,0.2,1.17,0.76,19.52,953.07,1594.02,136.65,439.33,-1104130248,-1188367319,-1293104280,-1440821775,-1678507467,-2103793728,-2872385785,-4404617105,-7521271601,-13927590912,11547.69,6214.08,3380.57,1883.07,1096.54,686.98,468.84,359.09,306.29,283.37,188.54,746.45,2896.37,10989.67,39797.37,132992.06,404373.25,1103730.94,2700144.69,6077772.73,4260.01,11906.75,33163.21,90854.71,243840.64,628811.75,1528729.56,3569072.27,7841194.19,16588268.75,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.84,0.53,0.07,0.13,-15221.95,-5800.49,-2237.28,-996.02,-570.97,-275,-114.41,-77.83,-80.06,-56.75,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.02,0.03,0,0.01,-237374.69,-282031.61,-332643.36,-396371.89,-488750.46,-643242.17,-916360.7,-1457666.25,-2571282.32,-4901802.62,4089.59,2429.46,1432.69,853.55,526.21,346.25,246.61,196.1,172.93,164.81,0.12,0.45,1.76,6.68,24.1,80.67,247.23,674.45,1648.91,3710.31,2.59,7.25,20.19,55.43,148.53,382.32,939.26,2182.55,4796.89,10136.17,62,1,1
0.06,0.02,0,0,0,2.41,0,70.81,2139.3,-3.79,-1.47,0.05,1.51,0.04,11.39,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,4.84,0.03,0,0.04,0.03,0,0.04,0.04,0,0.04,0.07,0.44,0.01,0.05,0.08,-0.12,-0.03,0,0.03,0.32,23.66,3.52,0.01,0.01,0.29,13.6,9.55,0.34,0.51,0,2.24,0.28,0.06,711457.11,1.49,3,0.03,0.01,48.36,11.27,10.99,531.05,1.17,6.04,1.42,0.01,0,0.29,0.05,17.79,0.07,8.3,9.53,4.97,-4.74,-1.94,-1.87,-1.91,-0.13,1.32,0.69,-0.13,-0.5,-0.58,0.08,0,0,0,-0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.7,3.35,11.39,88201,100,0,0,0,0,0,0,0,0,0,0,0.61,-48.05,-3.75,-71.92,-104.63,-938.59,-3524.17,-78995.1,-35235.56,-38927.24,-8822.78,-2593.8,-861.55,-232.04,-39.77,23.81,29.86,48.96,26,27.33,0,0.11,0.05,0.53,1.6,14.38,41.82,387.49,466.41,632.17,0.03,1.4,0.37,1.89,2.4,21.12,84.05,1663.46,1326.68,1375.51,-1679223231,-1802950295,-1956457581,-2172366558,-2518752987,-3137450873,-4252576449,-6468163008,-10968048477,-20208875317,11936.82,6411.26,3481.78,1936.29,1125.77,704.22,479.91,367.06,312.71,289.01,271.45,1071.95,4156.97,15756.95,56963,190781.23,584835.66,1594871.95,3900547.28,8777721.56,6125.74,17156.48,47669.08,130755.47,350594.08,904254.36,2223374.45,5154987.67,11304912.95,23909500.59,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.04,0.07,0.41,0.22,0.24,-14306.85,-5395.15,-2368.44,-1012.74,-474.63,-266.16,-148.63,-84.84,-62.48,-39.63,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0.02,0.02,0.02,-259124.83,-307072.09,-361425.58,-429879.5,-529109.82,-695044.7,-988219.76,-1568850.25,-2762773.88,-5260349.98,4160.57,2465.42,1451.15,863.26,531.54,349.39,248.63,197.56,174.1,165.84,0.12,0.49,1.88,7.13,25.75,86.22,264.44,721.33,1763.46,3967.94,2.76,7.75,21.58,59.25,158.74,408.92,1005.93,2333.9,5128.48,10836.37,62,1,0
1.3,0.37,0,0,0,5.49,0,366.08,3972.08,-460.91,-213.11,3.5,222.42,0.06,25.26,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.15,25.23,0.17,0,0.17,0.22,0,0.17,0.23,0,0.17,0.12,2.39,0.1,0.14,0.18,-0.25,-0.08,0.01,0.12,0.69,7.4,4.93,0.26,0.16,0.8,70.75,21.67,0.77,0.51,0.15,1.06,0.49,0.11,1464754.87,1.61,3.02,0.01,0.01,25.24,10.98,9.97,308.71,1.2,5.77,1.42,0.11,0.03,0.43,0.06,7.54,0.08,8.18,11.02,4.52,-4.71,-2.79,-2.46,-1.69,0.11,0.46,0.9,0.51,-1.39,-0.16,-0.16,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.36,7.17,25.26,88201,99.99,0,0,0,0,0,0,0,0,0,0,19.96,-150.65,-51689.26,-14222.01,-5873.83,-8443.91,-49918.14,-327524.59,-40296.54,-49806.47,-4030.95,-568.13,401.24,154.55,77.27,45.59,44.62,63.71,38.58,25.43,0.02,0.82,66.12,54.58,45.43,52.42,248.78,5052.18,520.99,206.01,0.11,1.54,76.14,69.45,73.17,131.25,474.75,7787.96,1389.29,1299.28,-3118265116,-3342432643,-3624436082,-4028263790,-4685933917,-5872711226,-8027516008,-12308454611,-21015256626,-38896462074,12512.11,6703.62,3632.69,2016.45,1170.55,731.32,497.86,380.43,323.79,298.94,538.27,2091.34,7779.2,29384.82,106245.29,355997.8,1089060.54,2960659.52,7234306.23,16273965.81,11543.79,34310.1,90250.83,244009.4,652178.86,1686086.74,4196131.65,9544074.6,21045315.32,44637906.13,100,0,0,0,0,0,0,0,0,0,0,0,0.02,0.57,0.18,0.08,0.08,0.26,0.91,0.2,0.2,-10289.25,-3357.58,-1148.46,-642.16,-389.14,-224.77,-109.5,-65.33,-90.6,-56.88,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.06,0.01,0.01,-293254.81,-346399.53,-406805.58,-483173.88,-594338.19,-780848.41,-1111057.94,-1765303.26,-3110854.88,-5925043.9,4261.1,2516.51,1477.52,877.27,539.37,354.13,251.77,199.89,176.04,167.57,0.14,0.54,2.1,7.95,28.71,96.12,294.79,803.73,1964.56,4420.15,3.08,8.66,24.07,66.04,176.91,455.86,1123.41,2599.65,5717.43,12086.21,62,1,0
0.07,0.05,0,0,0,1.05,0,29.62,784.86,-3.08,-1.27,-0.07,1.15,0.1,3.86,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.09,10.58,0.07,0,0.05,0.07,0,0.05,0.08,0,0.05,0.06,0.93,0.02,0.14,0.17,-0.23,-0.14,0.01,0.14,0.25,15.75,1.83,0.03,0.01,0.8,5.12,1.35,0.49,0.7,0.01,1.01,0.19,0.23,1696901.5,1.71,3.09,0,0,1.57,32.89,29.23,4197.82,1.24,5.45,1.45,2.71,0.44,2.86,0.2,11.8,0.19,6.58,5.57,7.83,2.4,-0.33,-0.48,-1.18,-0.64,0.6,0.37,0.8,-1.04,-0.2,0.24,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.83,1.45,3.86,88201,100,0,0,0,0,0,0,0,0,0,0,-2370.33,-656.58,-898.45,-7794.1,-693.77,-629.93,-1272.86,-1794.07,-11950.95,-2902.04,-9984.07,-2953.51,-671.57,-129.53,15.81,18.99,10.97,14.87,28.22,23.42,0.44,0.41,1.39,18.62,9.27,16.32,29.22,55.54,274.56,108.72,10.98,5.71,12.27,86.65,27.36,18.89,35.53,91.53,434.6,151.66,-412124318.5,-446041431.8,-488104671.6,-547273046.5,-642291931,-812414424.9,-1120566916,-1734502589,-2984539009,-5557590245,10638.3,5752.91,3143.52,1758.09,1027.58,646.04,442.34,339.8,290.6,269.47,79.14,311.89,1261.28,4688.33,16797.12,56148.03,172169.81,468987.52,1144331.1,2572508.57,1768.9,5016.69,14183.4,39047.16,103246.48,266114.23,655909.19,1523833.14,3341762.93,7065489.26,100,0,0,0,0,0,0,0,0,0,0,0.07,0.03,0.04,0.23,0.08,0.08,0.11,0.11,0.37,0.13,-15094.5,-5464.32,-1954.97,-811.51,-320.33,-208.88,-133.86,-104.86,-51.36,-66.54,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.02,0.01,-190657.97,-228047.11,-270352.36,-323512.9,-400412.35,-528883.94,-756035.98,-1206272.66,-2133107.76,-4074239.45,3913.29,2340.05,1386.74,829.33,512.84,338.31,241.47,192.36,169.88,162.11,0.1,0.38,1.5,5.66,20.41,68.32,209.52,571.3,1396.02,3140.51,2.18,6.12,17.06,47.04,125.74,323.94,797.54,1850.47,4066.05,8590.59,51,0,1
0.13,0.05,0,0,0,3.47,0,55.98,1633.89,-7.86,-2.81,-0.19,2.66,0.08,13.71,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.04,4.58,0.03,0,0.03,0.03,0,0.03,0.04,0,0.03,0.05,0.4,0,0.07,0.09,-0.13,-0.05,0,0.06,0.26,15.92,3.27,0.03,0.03,1,4.2,0,0.41,0.55,0,1.26,0.18,0.22,1769112.55,1.7,3.04,0,0,7.01,1.43,1.42,51.2,1.14,5.76,1.4,0.07,0.01,0.34,0.05,8.2,0.07,8.7,12.42,7.59,-3.26,-2.12,-1.16,-1.15,-1.18,-0.52,0.28,1.06,-0.99,-1.5,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.24,4.34,13.71,88201,99.98,0,0,0,0,0,0,0,0,0.01,0.01,-0.38,-384.12,-454.08,-1242.19,-2988.99,-9210.54,-157933.6,-47513.34,-344567.3,-628167.5,-8822.36,-2542.77,-545,-115.49,21.87,63.17,68.7,42.51,31.54,34.16,0,0.44,0.76,3.61,14.54,58.35,656.56,871.23,2818.46,3920.39,0.07,5.63,7.67,20.5,47.59,146.13,1036.84,1557.29,8128.56,16079,-1310799556,-1409980437,-1533756900,-1709108484,-1992343700,-2500628493,-3428619097,-5277777073,-9042322392,-16784742550,11706.56,6294.76,3422.16,1905.11,1108.81,694.37,473.78,362.79,309.38,286.15,207.34,823.12,3201.41,12176.77,44160.38,147670.74,450373.02,1232137.92,3023133.2,6836943.56,4722.94,13215.15,36862.85,101349.1,272540.44,706249.09,1689843.81,3928444.47,8662755.71,18364137.56,100,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.04,0.08,0.19,1.11,0.4,0.57,0.38,-14240.95,-5351.66,-1918.77,-769.47,-317.18,-199.45,-84.22,-107.75,-34.01,-31.28,0,0,0,0,0,0,0.01,0.02,0.05,0.08,0,0,0,0,0,0,0.02,0.03,0.16,0.31,-246127.3,-292135.69,-344312.18,-410071.7,-505489.16,-665196.06,-948105.21,-1508842.78,-2662671.12,-5077546.79,4118.87,2444.32,1440.35,857.61,528.47,347.61,247.52,196.78,173.49,165.32,0.12,0.46,1.79,6.79,24.52,82.08,251.68,686.95,1680.6,3785.1,2.63,7.37,20.54,56.41,151.16,389.29,953.74,2212.9,4868.89,10296.62,51,0,0
0.11,0.07,0,0,0,2.91,0,24.47,664.6,-7.71,-2.14,0.06,2.13,0.08,15.35,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,18.3,0.12,0,0.15,0.14,0,0.15,0.17,0,0.15,0.1,1.58,0.06,0.07,0.1,-0.14,-0.05,0,0.05,0.62,8.37,3.34,0.2,0.2,0.82,37.49,9,0.71,0.59,0,0.82,0.2,0.11,2021837.86,1.6,3,0,0,1.06,4.42,4.39,50.08,1.26,5.65,1.4,1.18,0.18,1.71,0.1,5.48,0.12,5.01,4.42,6.33,-1.25,-1.5,-1.17,1.66,-0.84,-1.35,-0.82,0.65,0.89,0.47,0.53,0,-0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.04,4.18,15.35,88201,99.98,0,0,0,0,0,0,0,0,0.01,0,0.39,2.39,16.15,-249.01,-781.1,-4972.01,-15293.76,-37266.54,-64234.99,-62327.11,-7799.47,-2516.9,-607.08,-111.75,-19.18,45.67,42.19,33.37,30.17,15.15,0,0,0.05,1.67,7.32,33.93,152.26,656.98,824.48,690.92,0,0.02,0.11,3.7,13.95,57.38,230.68,1112.16,3068.53,1859.55,-446811013.2,-482805679.9,-526955982.9,-588260688.7,-685565276.6,-858273144.1,-1168218344,-1784417637,-3033417292,-5607039946,10711.11,5789.34,3161.75,1767.21,1032.16,648.35,443.49,340.37,290.87,269.6,82.39,326.36,1279.65,4835.45,17475.25,58505.39,179045.47,487573.07,1188390.01,2671724.48,1842.07,5180.76,14510.14,40078.4,107389.83,277557.37,686499.2,1601405.56,3441989.12,7343201.38,100,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.05,0.08,0.27,0.44,0.61,0.72,0.61,-12842.71,-5206.83,-1989.97,-879.64,-389.33,-192.73,-96.87,-66.18,-67.96,-77.15,0,0,0,0,0,0,0.01,0.03,0.04,0.03,0,0,0,0,0,0,0.01,0.05,0.14,0.09,-194198.07,-232091.51,-274905.02,-328581.72,-406030.29,-535118.16,-762834.38,-1213802.06,-2141137.36,-4083433.99,3927.96,2347.4,1390.41,831.17,513.77,338.78,241.71,192.48,169.94,162.14,0.1,0.39,1.5,5.69,20.55,68.81,211.04,575.7,1406.83,3164.9,2.2,6.17,17.2,47.28,126.67,326.39,803.84,1867.23,4089.69,8657.68,51,0,0
